
Closed,ACCT2023 002,Accounting Principles II  (Sp, Su, Fa),Lecture,Regular Academic Session,3,10450,Aug 25, 2014,Dec 19, 2014,Mon, Wed, Fri  10:45 AM - 11:35 AM,BELL2282,Claire Yan,146/145,UGRD,WCOB,ACCT,FAY,course material,
Closed,ACCT2023 003,Accounting Principles II  (Sp, Su, Fa),Lecture,Regular Academic Session,3,10451,Aug 25, 2014,Dec 19, 2014,Mon, Wed, Fri  11:50 AM - 12:40 PM,WJWH0124,Claire Yan,120/120,UGRD,WCOB,ACCT,FAY,course material,
Open,ACCT2023 901,Accounting Principles II  (Sp, Su, Fa),Lecture,Regular Academic Session,3,10580,Aug 25, 2014,Dec 19, 2014,   - ,ONLINE WEB,Claire Yan,56/100,UGRD,WCOB,ACCT,OFF,course material,
Open,ACCT310V 001,Accounting Internship  (Sp, Su, Fa),Internship,Regular Academic Session,1 - 3,4926,Aug 25, 2014,Dec 19, 2014,   - , ,Charles Leflar,3/20,UGRD,WCOB,ACCT,FAY,course material,
Closed,ACCT3533 001,Accounting Technology  (Sp, Fa),Lecture,Regular Academic Session,3,1433,Aug 25, 2014,Dec 19, 2014,Tue, Thu  3:30 PM - 4:45 PM,WCOB0250,Katie Terrell,60/58,UGRD,WCOB,ACCT,FAY,course material,
Closed,ACCT3533 002,Accounting Technology  (Sp, Fa),Lecture,Regular Academic Session,3,5742,Aug 25, 2014,Dec 19, 2014,Tue, Thu  2:00 PM - 3:15 PM,WCOB0250,Katie Terrell,60/58,UGRD,WCOB,ACCT,FAY,course material,
Closed,ACCT3723 001,Intermediate Accounting I  (Sp, Fa),Lecture,Regular Academic Session,3,1435,Aug 25, 2014,Dec 19, 2014,Tue, Thu  11:00 AM - 12:15 PM,WCOB0241,Sami Keskek,70/70,UGRD,WCOB,ACCT,FAY,course material,
Open,ACCT3723 002,Intermediate Accounting I  (Sp, Fa),Lecture,Regular Academic Session,3,4438,Aug 25, 2014,Dec 19, 2014,Tue, Thu  3:30 PM - 4:45 PM,WCOB0241,Sami Keskek,69/70,UGRD,WCOB,ACCT,FAY,course material,
Open,ACCT3723 901,Intermediate Accounting I  (Sp, Fa),Lecture,Regular Academic Session,3,10581,Aug 25, 2014,Dec 19, 2014,   - ,ONLINE WEB,Jason Fowler,44/45,UGRD,WCOB,ACCT,OFF,course material,
Open,ACCT3753 001,Intermediate Accounting II  (Sp),Lecture,Regular Academic Session,3,5167,Aug 25, 2014,Dec 19, 2014,Tue, Thu  12:30 PM - 1:45 PM,WJWH0114,Susan Jurney,38/40,UGRD,WCOB,ACCT,FAY,course material,
Closed,ACCT3753 002,Intermediate Accounting II  (Sp),Lecture,Regular Academic Session,3,7900,Aug 25, 2014,Dec 19, 2014,Tue, Thu  9:30 AM - 10:45 AM,KIMP0407,Susan Jurney,40/40,UGRD,WCOB,ACCT,FAY,course material,
Closed,ACCT3843 001,Fundamentals of Taxation  (Sp, Fa),Lecture,Regular Academic Session,3,1436,Aug 25, 2014,Dec 19, 2014,Mon, Wed, Fri  10:45 AM - 11:35 AM,WCOB0240,Susan Jurney,60/60,UGRD,WCOB,ACCT,FAY,course material,
Open,ACCT3843 002,Fundamentals of Taxation  (Sp, Fa),Lecture,Regular Academic Session,3,5277,Aug 25, 2014,Dec 19, 2014,Mon, Wed, Fri  11:50 AM - 12:40 PM,WCOB0241,Susan Jurney,46/60,UGRD,WCOB,ACCT,FAY,course material,
Open,ACCT4003H 001,Honors Accounting Colloquium  (Fa),Lecture,Regular Academic Session,3,1437,Aug 25, 2014,Dec 19, 2014,Tue, Thu  12:30 PM - 1:45 PM,WJWH0403,Karen Pincus,15/28,UGRD,WCOB,ACCT,FAY,course material,
Open,ACCT4003H 002,Honors Accounting Colloquium  (Fa),Lecture,Regular Academic Session,3,7792,Aug 25, 2014,Dec 19, 2014,Tue, Thu  2:00 PM - 3:15 PM,WJWH0403,Karen Pincus,12/28,UGRD,WCOB,ACCT,FAY,course material,
Open,ACCT4673 001,Product, Project and Service Costing  (Fa),Lecture,Regular Academic Session,3,1438,Aug 25, 2014,Dec 19, 2014,Wed  6:00 PM - 8:50 PM,WJWH0103,Melanie Alecusan,0/5,GRAD,WCOB,ACCT,FAY,course material,
Open,ACCT4673 001,Product, Project and Service Costing  (Fa),Lecture,Regular Academic Session,3,1439,Aug 25, 2014,Dec 19, 2014,Wed  6:00 PM - 8:50 PM,WJWH0103,Melanie Alecusan,16/30,UGRD,WCOB,ACCT,FAY,course material,
Open,ACCT4673 002,Product, Project and Service Costing  (Fa),Lecture,Regular Academic Session,3,7243,Aug 25, 2014,Dec 19, 2014,Tue, Thu  3:30 PM - 4:45 PM,WJWH0103,Melanie Alecusan,39/40,UGRD,WCOB,ACCT,FAY,course material,
Open,ACCT4673 002,Product, Project and Service Costing  (Fa),Lecture,Regular Academic Session,3,7244,Aug 25, 2014,Dec 19, 2014,Tue, Thu  3:30 PM - 4:45 PM,WJWH0103,Melanie Alecusan,0/5,GRAD,WCOB,ACCT,FAY,course material,
Open,ACCT4963 002,Audit and Assurance Services  (Sp),Lecture,Regular Academic Session,3,10013,Aug 25, 2014,Dec 19, 2014,Tue, Thu  8:00 AM - 9:15 AM,KIMP0305,Jaclyn Prentice,0/10,GRAD,WCOB,ACCT,FAY,course material,
Open,ACCT4963 002,Audit and Assurance Services  (Sp),Lecture,Regular Academic Session,3,10014,Aug 25, 2014,Dec 19, 2014,Tue, Thu  8:00 AM - 9:15 AM,KIMP0305,Jaclyn Prentice,46/50,UGRD,WCOB,ACCT,FAY,course material,
Open,ACCT5223 001,Accounting for Supply Chain & Retail Organizations  (Fa),Lecture,Regular Academic Session,3,4068,Aug 25, 2014,Dec 19, 2014,Mon, Wed  9:30 AM - 10:45 AM,WJWH0427,Charles Leflar,42/45,GRAD,WCOB,ACCT,FAY,course material,
